date,season,home_team,away_team,result,bet_on,prob_model,odd,value,won,stake_flat,pl_flat,bankroll_flat,stake_kelly,pl_kelly,bankroll_kelly
,2025,Botafogo FR,SC Corinthians Paulista,D,H,0.725,1.63,1.181,False,25.37,-25.37,1242.91,89.27,-89.27,1696.08
,2025,SE Palmeiras,Grêmio FBPA,H,H,0.765,1.38,1.055,True,24.86,9.45,1252.36,61.87,23.51,1719.59
,2025,São Paulo FC,Fluminense FC,H,H,0.513,2.08,1.067,True,25.05,27.05,1279.41,26.59,28.72,1748.3
,2025,SC Internacional,CR Vasco da Gama,D,H,0.682,1.61,1.098,False,25.59,-25.59,1253.82,70.33,-70.33,1677.98
,2025,CR Flamengo,CA Mineiro,H,,,,,,0.0,0.0,1253.82,0.0,0.0,1677.98
,2025,Mirassol FC,CR Vasco da Gama,H,,,,,,0.0,0.0,1253.82,0.0,0.0,1677.98
,2025,Fluminense FC,Grêmio FBPA,H,H,0.558,1.89,1.054,True,25.08,22.32,1276.14,25.51,22.71,1700.68
,2025,Botafogo FR,Cruzeiro EC,A,H,0.567,2.17,1.229,False,25.52,-25.52,1250.61,83.4,-83.4,1617.29
,2025,CA Mineiro,RB Bragantino,H,H,0.65,1.94,1.262,True,25.01,23.51,1274.13,80.86,76.01,1693.3
,2025,EC Vitória,SE Palmeiras,D,H,0.46,3.21,1.477,False,25.48,-25.48,1248.64,84.66,-84.66,1608.63
,2025,SC Internacional,São Paulo FC,A,H,0.513,2.12,1.087,False,24.97,-24.97,1223.67,31.35,-31.35,1577.28
,2025,CR Flamengo,Mirassol FC,H,,,,,,0.0,0.0,1223.67,0.0,0.0,1577.28
,2025,São Paulo FC,EC Vitória,H,H,0.744,1.61,1.198,True,24.47,14.93,1238.6,78.86,48.11,1625.39
,2025,RB Bragantino,SC Internacional,A,H,0.513,2.45,1.257,False,24.77,-24.77,1213.83,71.9,-71.9,1553.49
,2025,EC Bahia,Fluminense FC,D,,,,,,0.0,0.0,1213.83,0.0,0.0,1553.49
,2025,CR Vasco da Gama,CA Mineiro,D,H,0.513,2.7,1.385,False,24.28,-24.28,1189.55,77.67,-77.67,1475.81
,2025,Cruzeiro EC,Santos FC,A,H,0.744,1.58,1.175,False,23.79,-23.79,1165.76,73.79,-73.79,1402.02
,2025,SC Corinthians Paulista,EC Bahia,A,,,,,,0.0,0.0,1165.76,0.0,0.0,1402.02
,2025,CA Mineiro,Grêmio FBPA,A,H,0.724,1.75,1.267,False,23.32,-23.32,1142.44,70.1,-70.1,1331.92
,2025,Santos FC,CR Vasco da Gama,A,,,,,,0.0,0.0,1142.44,0.0,0.0,1331.92
,2025,SC Internacional,CR Flamengo,A,A,0.523,2.09,1.093,True,22.85,24.91,1167.35,28.48,31.04,1362.96
,2025,Botafogo FR,SE Palmeiras,A,H,0.513,2.94,1.508,False,23.35,-23.35,1144.0,68.15,-68.15,1294.81
,2025,Mirassol FC,Cruzeiro EC,D,,,,,,0.0,0.0,1144.0,0.0,0.0,1294.81
,2025,RB Bragantino,Fluminense FC,H,H,0.513,2.65,1.359,True,22.88,37.75,1181.75,64.74,106.82,1401.63
,2025,Cruzeiro EC,SC Internacional,H,,,,,,0.0,0.0,1181.75,0.0,0.0,1401.63
,2025,CR Vasco da Gama,SC Corinthians Paulista,A,H,0.513,2.15,1.103,False,23.64,-23.64,1158.12,31.29,-31.29,1370.34
,2025,EC Bahia,Santos FC,H,,,,,,0.0,0.0,1158.12,0.0,0.0,1370.34
,2025,São Paulo FC,CA Mineiro,H,H,0.745,1.76,1.311,True,23.16,17.6,1175.72,68.52,52.07,1422.41
,2025,CR Flamengo,EC Vitória,H,,,,,,0.0,0.0,1175.72,0.0,0.0,1422.41
,2025,Botafogo FR,RB Bragantino,H,,,,,,0.0,0.0,1175.72,0.0,0.0,1422.41
,2025,Cruzeiro EC,São Paulo FC,H,H,0.558,2.04,1.138,True,23.51,24.46,1200.18,47.12,49.0,1471.41
,2025,CR Flamengo,Grêmio FBPA,D,,,,,,0.0,0.0,1200.18,0.0,0.0,1471.41
,2025,Santos FC,Fluminense FC,D,H,0.513,2.47,1.267,False,24.0,-24.0,1176.17,66.77,-66.77,1404.64
,2025,EC Vitória,CA Mineiro,H,H,0.513,3.25,1.667,True,23.52,52.93,1229.1,70.23,158.02,1562.66
,2025,SC Corinthians Paulista,SE Palmeiras,D,,,,,,0.0,0.0,1229.1,0.0,0.0,1562.66
,2025,Mirassol FC,EC Bahia,H,H,0.513,2.25,1.154,True,24.58,30.73,1259.83,48.13,60.16,1622.82
,2025,Grêmio FBPA,Mirassol FC,A,H,0.513,2.24,1.149,False,25.2,-25.2,1234.63,48.71,-48.71,1574.12
,2025,SE Palmeiras,SC Internacional,H,,,,,,0.0,0.0,1234.63,0.0,0.0,1574.12
,2025,Fluminense FC,SC Corinthians Paulista,A,H,0.509,2.25,1.144,False,24.69,-24.69,1209.94,45.46,-45.46,1528.66
,2025,CA Mineiro,Santos FC,D,H,0.604,1.91,1.153,False,24.2,-24.2,1185.74,64.28,-64.28,1464.38
,2025,São Paulo FC,Botafogo FR,H,H,0.509,2.39,1.216,True,23.71,32.96,1218.71,56.78,78.93,1543.31
,2025,EC Bahia,Cruzeiro EC,A,H,0.513,2.92,1.498,False,24.37,-24.37,1194.33,77.17,-77.17,1466.14
,2025,Botafogo FR,Mirassol FC,D,,,,,,0.0,0.0,1194.33,0.0,0.0,1466.14
,2025,EC Vitória,Fluminense FC,A,H,0.513,2.71,1.39,False,23.89,-23.89,1170.44,73.31,-73.31,1392.83
,2025,Botafogo FR,CA Mineiro,H,,,,,,0.0,0.0,1170.44,0.0,0.0,1392.83
,2025,CR Flamengo,CR Vasco da Gama,D,,,,,,0.0,0.0,1170.44,0.0,0.0,1392.83
,2025,SC Internacional,Grêmio FBPA,A,H,0.604,1.89,1.141,False,23.41,-23.41,1147.04,55.16,-55.16,1337.67
,2025,Santos FC,São Paulo FC,H,H,0.567,2.51,1.422,True,22.94,34.64,1181.68,66.88,100.99,1438.66
,2025,Cruzeiro EC,RB Bragantino,H,,,,,,0.0,0.0,1181.68,0.0,0.0,1438.66
,2025,CR Vasco da Gama,EC Bahia,H,H,0.551,2.35,1.295,True,23.63,31.91,1213.58,71.93,97.11,1535.77
,2025,Grêmio FBPA,Botafogo FR,D,H,0.513,2.92,1.498,False,24.27,-24.27,1189.31,76.79,-76.79,1458.98
,2025,CR Vasco da Gama,Cruzeiro EC,H,H,0.513,2.95,1.513,True,23.79,46.38,1235.69,72.95,142.25,1601.24
,2025,CA Mineiro,Mirassol FC,H,H,0.551,2.13,1.174,True,24.71,27.93,1263.62,61.47,69.46,1670.7
,2025,Grêmio FBPA,EC Vitória,H,,,,,,0.0,0.0,1263.62,0.0,0.0,1670.7
,2025,Fluminense FC,Botafogo FR,H,H,0.513,2.24,1.149,True,25.27,31.34,1294.96,50.14,62.18,1732.88
,2025,EC Bahia,SE Palmeiras,H,,,,,,0.0,0.0,1294.96,0.0,0.0,1732.88
,2025,RB Bragantino,Santos FC,D,H,0.513,2.27,1.164,False,25.9,-25.9,1269.06,56.03,-56.03,1676.85
,2025,SC Corinthians Paulista,CR Flamengo,A,,,,,,0.0,0.0,1269.06,0.0,0.0,1676.85
,2025,SE Palmeiras,CR Vasco da Gama,H,,,,,,0.0,0.0,1269.06,0.0,0.0,1676.85
,2025,Mirassol FC,RB Bragantino,D,,,,,,0.0,0.0,1269.06,0.0,0.0,1676.85
,2025,SC Internacional,SC Corinthians Paulista,D,H,0.65,2.03,1.32,False,25.38,-25.38,1243.68,83.84,-83.84,1593.01
,2025,Botafogo FR,EC Bahia,H,,,,,,0.0,0.0,1243.68,0.0,0.0,1593.01
,2025,Santos FC,Grêmio FBPA,D,,,,,,0.0,0.0,1243.68,0.0,0.0,1593.01
,2025,CR Flamengo,Cruzeiro EC,D,,,,,,0.0,0.0,1243.68,0.0,0.0,1593.01
,2025,Fluminense FC,CA Mineiro,H,,,,,,0.0,0.0,1243.68,0.0,0.0,1593.01
,2025,RB Bragantino,Grêmio FBPA,H,H,0.595,1.9,1.131,True,24.87,22.39,1266.06,57.81,52.03,1645.03
,2025,SC Internacional,Botafogo FR,H,H,0.513,2.33,1.195,True,25.32,33.68,1299.74,60.3,80.2,1725.24
,2025,SC Corinthians Paulista,Mirassol FC,H,H,0.513,2.11,1.082,True,25.99,28.85,1328.59,31.94,35.45,1760.68
,2025,CR Vasco da Gama,EC Vitória,H,,,,,,0.0,0.0,1328.59,0.0,0.0,1760.68
,2025,São Paulo FC,SE Palmeiras,A,A,0.523,2.31,1.208,True,26.57,34.81,1363.4,69.99,91.68,1852.37
,2025,EC Bahia,CR Flamengo,H,,,,,,0.0,0.0,1363.4,0.0,0.0,1852.37
,2025,Mirassol FC,Fluminense FC,H,H,0.513,2.53,1.298,True,27.27,41.72,1405.12,90.08,137.82,1990.18
,2025,SE Palmeiras,RB Bragantino,H,H,0.513,5.28,2.708,True,28.1,120.28,1525.4,99.51,425.9,2416.08
,2025,Botafogo FR,CR Flamengo,A,H,0.513,2.14,1.098,False,30.51,-30.51,1494.89,51.7,-51.7,2364.38
,2025,Mirassol FC,SC Internacional,H,,,,,,0.0,0.0,1494.89,0.0,0.0,2364.38
,2025,CA Mineiro,Cruzeiro EC,D,H,0.552,2.15,1.188,False,29.9,-29.9,1465.0,96.48,-96.48,2267.9
,2025,Santos FC,SC Corinthians Paulista,H,H,0.551,2.53,1.394,True,29.3,44.83,1509.83,113.39,173.49,2441.39
,2025,Grêmio FBPA,São Paulo FC,H,,,,,,0.0,0.0,1509.83,0.0,0.0,2441.39
,2025,EC Vitória,EC Bahia,H,,,,,,0.0,0.0,1509.83,0.0,0.0,2441.39
,2025,SC Corinthians Paulista,CA Mineiro,H,,,,,,0.0,0.0,1509.83,0.0,0.0,2441.39
,2025,CR Flamengo,SE Palmeiras,H,,,,,,0.0,0.0,1509.83,0.0,0.0,2441.39
,2025,Mirassol FC,São Paulo FC,H,H,0.46,2.62,1.206,True,30.2,48.92,1558.74,77.44,125.45,2566.84
,2025,EC Bahia,Grêmio FBPA,H,,,,,,0.0,0.0,1558.74,0.0,0.0,2566.84
